annotation_base_name,split
flame_sample_0000_pain_1,0
flame_sample_0000_pain_10,0
flame_sample_0000_pain_2,0
flame_sample_0000_pain_3,0
flame_sample_0000_pain_4,0
flame_sample_0000_pain_5,0
flame_sample_0000_pain_6,0
flame_sample_0000_pain_7,0
flame_sample_0000_pain_8,0
flame_sample_0000_pain_9,0
flame_sample_0001_pain_1,2
flame_sample_0001_pain_10,2
flame_sample_0001_pain_2,2
flame_sample_0001_pain_3,2
flame_sample_0001_pain_4,2
flame_sample_0001_pain_5,2
flame_sample_0001_pain_6,2
flame_sample_0001_pain_7,2
flame_sample_0001_pain_8,2
flame_sample_0001_pain_9,2
flame_sample_0002_pain_1,0
flame_sample_0002_pain_10,0
flame_sample_0002_pain_2,0
flame_sample_0002_pain_3,0
flame_sample_0002_pain_4,0
flame_sample_0002_pain_5,0
flame_sample_0002_pain_6,0
flame_sample_0002_pain_7,0
flame_sample_0002_pain_8,0
flame_sample_0002_pain_9,0
flame_sample_0003_pain_1,0
flame_sample_0003_pain_10,0
flame_sample_0003_pain_2,0
flame_sample_0003_pain_3,0
flame_sample_0003_pain_4,0
flame_sample_0003_pain_5,0
flame_sample_0003_pain_6,0
flame_sample_0003_pain_7,0
flame_sample_0003_pain_8,0
flame_sample_0003_pain_9,0
flame_sample_0004_pain_1,2
flame_sample_0004_pain_10,2
flame_sample_0004_pain_2,2
flame_sample_0004_pain_3,2
flame_sample_0004_pain_4,2
flame_sample_0004_pain_5,2
flame_sample_0004_pain_6,2
flame_sample_0004_pain_7,2
flame_sample_0004_pain_8,2
flame_sample_0004_pain_9,2
flame_sample_0005_pain_1,0
flame_sample_0005_pain_10,0
flame_sample_0005_pain_2,0
flame_sample_0005_pain_3,0
flame_sample_0005_pain_4,0
flame_sample_0005_pain_5,0
flame_sample_0005_pain_6,0
flame_sample_0005_pain_7,0
flame_sample_0005_pain_8,0
flame_sample_0005_pain_9,0
flame_sample_0006_pain_1,0
flame_sample_0006_pain_10,0
flame_sample_0006_pain_2,0
flame_sample_0006_pain_3,0
flame_sample_0006_pain_4,0
flame_sample_0006_pain_5,0
flame_sample_0006_pain_6,0
flame_sample_0006_pain_7,0
flame_sample_0006_pain_8,0
flame_sample_0006_pain_9,0
flame_sample_0007_pain_1,0
flame_sample_0007_pain_10,0
flame_sample_0007_pain_2,0
flame_sample_0007_pain_3,0
flame_sample_0007_pain_4,0
flame_sample_0007_pain_5,0
flame_sample_0007_pain_6,0
flame_sample_0007_pain_7,0
flame_sample_0007_pain_8,0
flame_sample_0007_pain_9,0
flame_sample_0008_pain_1,0
flame_sample_0008_pain_10,0
flame_sample_0008_pain_2,0
flame_sample_0008_pain_3,0
flame_sample_0008_pain_4,0
flame_sample_0008_pain_5,0
flame_sample_0008_pain_6,0
flame_sample_0008_pain_7,0
flame_sample_0008_pain_8,0
flame_sample_0008_pain_9,0
flame_sample_0009_pain_1,0
flame_sample_0009_pain_10,0
flame_sample_0009_pain_2,0
flame_sample_0009_pain_3,0
